Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
123.500,131.000,6.000,165.000,16.373,0.204,11.563,-135.245,-424.948
123.500,131.000,6.000,180.000,2.623,0.196,7.477,-57.572,-488.465
123.500,131.000,6.000,195.000,-11.282,0.200,11.807,-20.604,-518.695
123.500,131.000,6.000,210.000,-23.654,0.214,24.258,-26.861,-513.579
123.500,131.000,6.000,225.000,-33.329,0.235,43.982,-75.916,-473.464
123.500,131.000,6.000,240.000,-39.912,0.256,69.635,-164.427,-401.085
123.500,131.000,6.000,255.000,-43.601,0.271,99.468,-286.361,-301.372
123.500,131.000,6.000,270.000,-44.772,0.276,131.448,-433.409,-181.121
123.500,131.000,6.000,285.000,-43.601,0.271,163.396,-595.551,-48.526
123.500,131.000,6.000,300.000,-39.912,0.256,193.135,-761.737,87.378
123.500,131.000,6.000,315.000,-33.329,0.235,218.638,-920.642,217.328
123.500,131.000,6.000,330.000,-23.654,0.214,238.167,-1061.435,332.469
123.500,131.000,6.000,345.000,-11.282,0.200,250.391,-1174.523,424.953
123.500,131.000,6.000,360.000,2.623,0.196,254.477,-1252.199,488.477
,,,,,,,,
123.000,131.000,7.000,15.000,16.738,0.205,249.661,-1286.580,516.610
123.000,131.000,7.000,30.000,28.613,0.223,237.259,-1280.348,511.514
123.000,131.000,7.000,45.000,37.666,0.248,217.615,-1231.490,471.557
123.000,131.000,7.000,60.000,43.666,0.271,192.066,-1143.336,399.463
123.000,131.000,7.000,75.000,46.948,0.287,162.354,-1021.893,300.147
123.000,131.000,7.000,90.000,47.975,0.293,130.503,-875.438,180.376
123.000,131.000,7.000,105.000,46.948,0.287,98.684,-713.951,48.315
123.000,131.000,7.000,120.000,43.666,0.271,69.066,-548.438,-87.038
123.000,131.000,7.000,135.000,37.666,0.248,43.667,-390.179,-216.458
123.000,131.000,7.000,150.000,28.613,0.223,24.217,-249.957,-331.126
123.000,131.000,7.000,165.000,16.738,0.205,12.043,-137.330,-423.227
123.000,131.000,7.000,180.000,3.060,0.196,7.973,-59.971,-486.488
123.000,131.000,7.000,195.000,-10.797,0.200,12.286,-23.153,-516.595
123.000,131.000,7.000,210.000,-23.155,0.213,24.687,-29.385,-511.500
123.000,131.000,7.000,225.000,-32.846,0.234,44.331,-78.241,-471.548
123.000,131.000,7.000,240.000,-39.460,0.254,69.879,-166.393,-399.461
123.000,131.000,7.000,255.000,-43.177,0.269,99.591,-287.834,-300.152
123.000,131.000,7.000,270.000,-44.360,0.274,131.442,-434.287,-180.388
123.000,131.000,7.000,285.000,-43.177,0.269,163.261,-595.773,-48.329
123.000,131.000,7.000,300.000,-39.460,0.254,192.879,-761.286,87.024
123.000,131.000,7.000,315.000,-32.846,0.234,218.279,-919.547,216.449
123.000,131.000,7.000,330.000,-23.155,0.213,237.729,-1059.771,331.123
123.000,131.000,7.000,345.000,-10.797,0.200,249.904,-1172.401,423.233
123.000,131.000,7.000,360.000,3.060,0.196,253.973,-1249.761,486.499
,,,,,,,,
123.500,132.000,6.500,15.000,16.460,0.205,251.146,-1294.157,518.709
123.500,132.000,6.500,30.000,28.322,0.223,238.695,-1287.905,513.595
123.500,132.000,6.500,45.000,37.383,0.247,218.972,-1238.853,473.480
123.500,132.000,6.500,60.000,43.403,0.270,193.320,-1150.344,401.097
123.500,132.000,6.500,75.000,46.704,0.286,163.487,-1028.411,301.379
123.500,132.000,6.500,90.000,47.738,0.292,131.507,-881.362,181.124
123.500,132.000,6.500,105.000,46.704,0.286,99.559,-719.220,48.526
123.500,132.000,6.500,120.000,43.403,0.270,69.820,-553.035,-87.377
123.500,132.000,6.500,135.000,37.383,0.247,44.316,-394.130,-217.324
123.500,132.000,6.500,150.000,28.322,0.223,24.787,-253.336,-332.460
123.500,132.000,6.500,165.000,16.460,0.205,12.562,-140.247,-424.939
123.500,132.000,6.500,180.000,2.820,0.196,8.475,-62.570,-488.460
123.500,132.000,6.500,195.000,-10.985,0.200,12.805,-25.597,-518.694
123.500,132.000,6.500,210.000,-23.288,0.214,25.255,-31.849,-513.582
123.500,132.000,6.500,225.000,-32.932,0.234,44.978,-80.900,-473.471
123.500,132.000,6.500,240.000,-39.514,0.254,70.630,-169.406,-401.095
123.500,132.000,6.500,255.000,-43.214,0.269,100.462,-291.337,-301.385
123.500,132.000,6.500,270.000,-44.392,0.275,132.442,-438.384,-181.135
123.500,132.000,6.500,285.000,-43.214,0.269,164.391,-600.525,-48.541
123.500,132.000,6.500,300.000,-39.514,0.254,194.130,-766.711,87.363
123.500,132.000,6.500,315.000,-32.932,0.234,219.633,-925.617,217.315
123.500,132.000,6.500,330.000,-23.288,0.214,239.163,-1066.413,332.458
123.500,132.000,6.500,345.000,-10.985,0.200,251.388,-1179.504,424.945
123.500,132.000,6.500,360.000,2.820,0.196,255.475,-1257.183,488.471
,,,,,,,,
123.000,132.000,7.500,15.000,16.822,0.205,250.660,-1291.570,516.609
123.000,132.000,7.500,30.000,28.605,0.223,238.260,-1285.343,511.516
123.000,132.000,7.500,45.000,37.595,0.248,218.616,-1236.490,471.563
123.000,132.000,7.500,60.000,43.563,0.271,193.067,-1148.339,399.473
123.000,132.000,7.500,75.000,46.834,0.287,163.355,-1026.900,300.159
123.000,132.000,7.500,90.000,47.858,0.292,131.505,-880.447,180.390
123.000,132.000,7.500,105.000,46.834,0.287,99.686,-718.961,48.330
123.000,132.000,7.500,120.000,43.563,0.271,70.067,-553.448,-87.023
123.000,132.000,7.500,135.000,37.595,0.248,44.668,-395.187,-216.444
123.000,132.000,7.500,150.000,28.605,0.223,25.217,-254.963,-331.114
123.000,132.000,7.500,165.000,16.822,0.205,13.042,-142.332,-423.219
123.000,132.000,7.500,180.000,3.254,0.197,8.972,-64.969,-486.482
123.000,132.000,7.500,195.000,-10.503,0.200,13.283,-28.146,-516.594
123.000,132.000,7.500,210.000,-22.791,0.213,25.683,-34.373,-511.502
123.000,132.000,7.500,225.000,-32.450,0.233,45.327,-83.225,-471.554
123.000,132.000,7.500,240.000,-39.062,0.253,70.875,-171.373,-399.471
123.000,132.000,7.500,255.000,-42.789,0.267,100.586,-292.811,-300.164
